Timestamp,Task Name,Experiment ID,Success,Attempts Needed,Planning Time (s),Particles Satisfying

2026-03-11 22:46:16,move,N/A,True,0,16.7910,589
2026-03-11 22:47:32,move,N/A,True,0,18.0779,675
2026-03-11 22:48:46,move,N/A,True,0,18.1019,739
2026-03-11 22:50:29,move,N/A,True,0,17.8270,714
2026-03-11 22:51:43,move,N/A,True,0,17.0032,710
2026-03-11 22:53:18,move,N/A,True,0,18.2755,674
2026-03-11 22:54:34,move,N/A,True,0,16.9242,581
2026-03-11 22:56:02,move,N/A,True,0,16.9482,712
2026-03-11 22:59:17,move,N/A,True,0,16.8761,714
2026-03-11 23:04:11,move,N/A,True,0,17.0144,726
2026-03-11 23:05:33,move,N/A,True,0,18.1460,677
2026-03-11 23:07:00,move,N/A,True,0,18.0906,773
2026-03-11 23:11:05,move,N/A,True,0,17.0651,692
2026-03-11 23:12:58,move,N/A,True,0,44.3698,664
2026-03-11 23:22:23,move,N/A,True,0,17.0515,728
2026-03-12 16:00:07,move,N/A,True,0,16.7092,517
2026-03-12 16:10:09,move,N/A,True,0,16.6892,575
2026-03-12 16:11:52,move,N/A,True,0,29.4413,510
2026-03-12 16:12:49,move,N/A,True,0,17.2655,555
2026-03-12 16:14:23,move,N/A,False,0,41.5043,0
2026-03-12 16:15:58,move,N/A,False,0,41.3527,0
2026-03-12 16:17:16,move,N/A,False,0,41.8773,0
2026-03-12 16:18:25,move,N/A,False,0,35.8174,0
2026-03-12 17:17:28,move,N/A,False,0,28.0489,0
2026-03-12 17:19:49,move,N/A,True,0,16.5450,658
2026-03-12 17:20:52,move,N/A,True,0,16.6296,527
2026-03-12 17:21:56,move,N/A,True,0,16.7904,568
2026-03-12 17:23:18,move,N/A,True,0,28.4751,667
2026-03-12 17:44:09,move,N/A,False,0,40.2000,0
2026-03-12 17:46:59,move,N/A,True,0,35.3972,679
2026-03-12 17:49:48,move,N/A,True,0,21.1281,592
2026-03-12 19:50:12,move,N/A,True,0,29.2721,670
2026-03-12 19:54:22,move,N/A,True,0,30.9493,686
2026-03-12 19:55:59,move,N/A,True,0,17.5757,728
2026-03-12 19:59:09,move,N/A,True,0,41.1938,729
2026-03-12 22:17:10,move,N/A,False,0,38.5423,0
2026-03-12 22:22:48,move,N/A,False,0,49.0043,0
2026-03-12 22:24:52,move,N/A,False,0,43.9481,0
2026-03-12 22:53:59,move,N/A,True,0,20.7087,730
2026-03-12 23:37:29,move,N/A,True,0,16.6199,382
2026-03-12 23:38:47,move,N/A,True,0,16.5393,703
2026-03-12 23:44:28,move,N/A,True,0,16.9132,611
2026-03-12 23:45:20,move,N/A,True,0,17.0074,649
2026-03-12 23:47:30,move,N/A,True,0,19.5609,713
2026-03-12 23:55:48,move,N/A,True,0,46.8813,733
2026-03-13 00:10:53,move,N/A,True,0,20.6985,646
2026-03-13 00:13:19,move,N/A,True,0,16.6874,728
2026-03-13 00:14:16,move,N/A,True,0,16.9524,699
2026-03-13 00:20:17,move,N/A,True,0,20.3818,36
2026-03-13 00:21:20,move,N/A,True,0,16.8158,511
2026-03-13 00:22:18,move,N/A,True,0,20.2311,746
2026-03-13 00:25:35,move,N/A,True,0,33.3684,722
2026-03-13 00:48:52,move,N/A,True,0,20.9911,771
2026-03-13 00:54:09,move,N/A,True,0,20.2927,681
2026-03-13 00:58:37,move,N/A,True,0,20.8969,746
2026-03-13 01:00:54,move,N/A,True,0,21.4103,716
2026-03-13 01:04:14,move,N/A,True,0,20.5723,699
2026-03-13 01:06:27,move,N/A,True,0,20.7298,730
2026-03-13 01:08:03,move,N/A,True,0,16.8969,714
2026-03-13 13:53:56,move,N/A,True,0,23.6964,728
2026-03-13 13:57:08,move,N/A,True,0,41.2489,737
2026-03-13 13:59:58,move,N/A,True,0,37.5711,706
2026-03-13 14:05:13,move,N/A,True,0,23.8770,46
2026-03-13 14:07:52,move,N/A,False,0,49.7612,0
2026-03-13 14:47:07,move,N/A,True,0,23.7187,742
2026-03-13 14:50:26,move,N/A,True,0,34.4860,31
2026-03-13 14:51:42,move,N/A,True,0,30.7713,5
2026-03-13 14:53:50,move,N/A,True,0,20.1135,525
2026-03-13 15:00:52,move,N/A,True,0,17.3725,571
2026-03-13 15:12:38,move,N/A,True,0,23.6592,746
2026-03-13 15:14:00,move,N/A,True,0,20.4934,618
2026-03-13 15:21:19,move,N/A,True,0,23.0225,670
2026-03-13 15:22:16,move,N/A,True,0,19.2944,694
2026-03-13 15:23:32,move,N/A,True,0,20.3329,765
2026-03-13 15:24:38,move,N/A,True,0,19.9829,713
2026-03-13 15:25:49,move,N/A,True,0,20.2156,760
2026-03-13 15:33:23,move,N/A,True,0,21.4361,709
2026-03-13 15:37:00,move,N/A,True,0,20.5408,628
2026-03-13 15:39:32,move,N/A,True,0,20.2610,707
2026-03-13 15:41:49,move,N/A,True,0,19.6027,735
2026-03-13 15:43:05,move,N/A,True,0,20.5036,740
2026-03-13 15:44:11,move,N/A,True,0,23.2559,696
2026-03-13 15:45:29,move,N/A,True,0,24.0897,701
2026-03-13 15:46:46,move,N/A,True,0,19.7173,704
2026-03-13 15:48:11,move,N/A,True,0,20.6686,744
2026-03-13 15:49:27,move,N/A,True,0,23.7448,703
2026-03-13 16:04:26,move,N/A,True,0,23.2154,735
2026-03-13 16:06:09,move,N/A,True,0,20.5766,680
2026-03-13 16:07:19,move,N/A,True,0,20.6574,693
2026-03-13 16:09:55,move,N/A,True,0,20.2250,504
2026-03-13 16:11:20,move,N/A,True,0,20.4380,649
2026-03-13 16:12:37,move,N/A,True,0,20.2229,647
2026-03-13 16:13:44,move,N/A,True,0,20.4934,606
2026-03-13 16:14:57,move,N/A,True,0,20.6854,736
2026-03-13 16:20:42,move,N/A,True,0,23.3583,533
2026-03-13 16:28:05,move,N/A,True,0,20.2712,619
2026-03-13 16:31:16,move,N/A,True,0,20.5395,657
2026-03-13 16:34:24,move,N/A,True,0,20.4936,609
2026-03-13 16:49:08,move,N/A,True,0,21.8315,714
2026-03-13 16:58:16,move,N/A,True,0,23.6108,702
